customer_id,customer_name,customer_type
C001,Tran An,Individual
C002,Pham Linh,Individual
C003,Tran Chi,Individual
C004,Nguyen An,Individual
C005,Pham An,Individual
C006,Do Thao,Individual
C007,Ho Minh,Business
C008,Nguyen Hoa,Individual
C009,Vu Minh,Individual
C010,Vu Dung,Individual
C011,Tran Quang,Business
C012,Ho Minh,Business
C013,Bui Dung,Business
C014,Dang Chi,Individual
C015,Ho Quang,Individual
C016,Tran Binh,Individual
C017,Hoang Chi,Business
C018,Tran Son,Individual
C019,Vu Hoa,Individual
C020,Pham Minh,Individual
C021,Tran Hoa,Individual
C022,Pham Hoa,Individual
C023,Hoang Linh,Individual
C024,Nguyen Linh,Business
C025,Vu Son,Individual
C026,Pham Phuong,Individual
C027,Bui Son,Business
C028,Bui Giang,Individual
C029,Pham Minh,Individual
C030,Dang Son,Individual
C031,Le Yen,Individual
C032,Nguyen Dung,Individual
C033,Le Thao,Individual
C034,Dang Son,Individual
C035,Bui Minh,Business
C036,Nguyen Dung,Individual
C037,Do Minh,Business
C038,Vu Dung,Individual
C039,Le Trang,Individual
C040,Hoang Hoa,Individual
C041,Tran Nam,Business
C042,Do Khanh,Individual
C043,Le An,Individual
C044,Bui An,Individual
C045,Vu Nam,Individual
C046,Pham Chi,Individual
C047,Bui Chi,Business
C048,Do Giang,Individual
C049,Bui Hoa,Individual
C050,Ho Thao,Business
C051,Do Khanh,Individual
C052,Dang Quang,Individual
C053,Do Trang,Individual
C054,Pham Chi,Individual
C055,Ho Linh,Individual
C056,Nguyen Chi,Individual
C057,Nguyen Linh,Individual
C058,Nguyen Phuong,Individual
C059,Pham Minh,Individual
C060,Pham Giang,Individual
C061,Ho Yen,Individual
C062,Bui Thao,Individual
C063,Tran Thao,Individual
C064,Dang Trang,Business
C065,Nguyen Dung,Individual
C066,Vu Dung,Individual
C067,Pham Trang,Individual
C068,Le Minh,Individual
C069,Tran Trang,Business
C070,Do Dung,Individual
C071,Do An,Business
C072,Pham Hoa,Individual
C073,Bui Khanh,Business
C074,Nguyen Hoa,Individual
C075,Dang Minh,Business
C076,Bui Nam,Individual
C077,Do Yen,Individual
C078,Hoang Khanh,Business
C079,Ho Binh,Individual
C080,Nguyen Binh,Individual
C081,Do Hoa,Individual
C082,Do Chi,Business
C083,Tran Chi,Individual
C084,Pham Son,Individual
C085,Ho Linh,Individual
C086,Nguyen Chi,Individual
C087,Ho Phuong,Business
C088,Pham Phuong,Individual
C089,Dang Giang,Individual
C090,Hoang Trang,Individual
C091,Tran An,Individual
C092,Ho Dung,Individual
C093,Pham Minh,Individual
C094,Vu Chi,Business
C095,Vu Nam,Individual
C096,Do Nam,Individual
C097,Do An,Individual
C098,Do Nam,Business
C099,Tran Giang,Individual
C100,Tran Giang,Individual
